DATE,DAY,IFVG_ENTRY,IFVG_FORMED,MAX_RR,B_S,W_L,MONTH,MONTH_NUM,TRADE_NO,PNL_PCT,RUNNING_BALANCE,CUMULATIVE_RETURN_PCT,SESSION_MATCH,WIN_NUM,TRADE_QUALITY,RISK_PCT,REWARD_PCT,OPTIMISED_BALANCE,OPTIMISED_RETURN_PCT
06-Jan,TUE,LN,LN,0.0,BUY,LOSS,Jan,7,1,-0.25,9975.0,-0.25,True,0,BEST,0.5,2.5,9950.0,-0.5
06-Jan,TUE,NY,NY,5.0,BUY,WIN,Jan,7,2,1.25,10099.69,1.0,True,1,WORST,0.25,1.25,9950.0,-0.5
07-Jan,WED,NY,NY,20.0,SELL,WIN,Jan,7,3,1.25,10225.93,2.26,True,1,BEST,0.5,2.5,10198.75,1.99
08-Jan,THU,NY,NY,4.6,BUY,BE,Jan,7,4,0.0,10225.93,2.26,True,0,WORST,0.25,1.25,10198.75,1.99
09-Jan,MON,POST NY,NY,12.0,BUY,WIN,Jan,7,5,1.25,10353.76,3.54,False,1,BEST,0.5,2.5,10453.72,4.54
09-Jan,FRI,LN,PRE LN,3.5,BUY,BE,Jan,7,6,0.0,10353.76,3.54,False,0,WORST,0.25,1.25,10453.72,4.54
12-Jan,MON,LN,LN,0.0,SELL,LOSS,Jan,7,7,-0.25,10327.87,3.28,True,0,BEST,0.5,2.5,10401.45,4.01
12-Jan,MON,NY,NY,0.0,BUY,LOSS,Jan,7,8,-0.25,10302.05,3.02,True,0,WORST,0.25,1.25,10401.45,4.01
13-Jan,TUE,PRE LN,PRE LN,7.0,BUY,WIN,Jan,7,9,1.25,10430.83,4.31,True,1,BEST,0.5,2.5,10661.49,6.61
13-Jan,TUE,POST NY,NY,7.5,BUY,WIN,Jan,7,10,1.25,10561.21,5.61,False,1,WORST,0.25,1.25,10661.49,6.61
14-Jan,WED,LN,LN,0.0,SELL,LOSS,Jan,7,11,-0.25,10534.81,5.35,True,0,BEST,0.5,2.5,10608.18,6.08
14-Jan,WED,NY,NY,3.0,SELL,BE,Jan,7,12,0.0,10534.81,5.35,True,0,BEST,0.5,2.5,10608.18,6.08
15-Jan,THU,PRE LN,PRE LN,0.0,BUY,LOSS,Jan,7,13,-0.25,10508.47,5.08,True,0,WORST,0.25,1.25,10608.18,6.08
15-Jan,THU,NY,NY,0.0,BUY,LOSS,Jan,7,14,-0.25,10482.2,4.82,True,0,WORST,0.25,1.25,10608.18,6.08
16-Jan,FRI,LN,LN,0.0,SELL,LOSS,Jan,7,15,-0.25,10456.0,4.56,True,0,WORST,0.25,1.25,10608.18,6.08
16-Jan,FRI,POST NY,NY,2.9,BUY,BE,Jan,7,16,0.0,10456.0,4.56,False,0,BEST,0.5,2.5,10608.18,6.08
19-Jan,MON,NY,NY,0.0,SELL,LOSS,Jan,7,17,-0.25,10429.86,4.3,True,0,WORST,0.25,1.25,10608.18,6.08
